Bedrooms,Bathrooms,Floor Area,Land Area,price_per_sqm,total_rooms,floor_land_ratio,distance_to_makati_cbd,distance_to_bgc,distance_to_ortigas,distance_to_quezon_city,distance_to_alabang,distance_to_antipolo,Price
3.0,3.0,290.0,204.0,82758.62068965517,6.0,1.4215686274509804,12.060232748784554,11.91015955549519,16.048950455599712,25.603907794568748,3.3455769988251096,22.502261479277042,24000000.0
4.0,3.0,153.7,58.7,53350.68314899155,7.0,2.6183986371379895,14.530341417648005,14.754921429202241,18.92779227483139,28.176425838944205,3.5825687559487425,25.66735076604484,8200000.0
1.0,1.0,44.0,40.0,38068.181818181816,2.0,1.1,1.7770232569930737,2.6733197041621697,6.474000514712566,15.350095002157254,13.488925776389165,14.245311616024498,1675000.0
3.0,3.0,219.3,90.0,120223.4382124943,6.0,2.436666666666667,14.376333747651797,13.847045595933576,17.860381986609596,27.68800215964151,1.2426663423957995,23.662137623943824,26365000.0
3.0,2.0,54.0,88.0,59259.25925925926,5.0,0.6136363636363636,66.10793997524648,64.51109339229258,67.32806883611237,77.06152087666634,52.76189163738723,68.55187091609035,3200000.0
4.0,3.0,300.0,3267.0,40000.0,7.0,0.09182736455463728,636.1767140258524,634.8734088031135,637.9918867784679,647.8745563758573,621.5915549103595,639.4477240828753,12000000.0
5.0,3.0,100.0,121.0,74210.0,8.0,0.8264462809917356,94.44173375552552,96.90594600235075,96.61724500951362,91.54950602908558,103.07172884957505,101.53687243384027,7421000.0
6.0,6.0,600.0,600.0,75000.0,12.0,1.0,18.303609751312887,18.312951916795686,14.339832125813865,4.73036531472914,33.183663049102904,12.264580382195708,45000000.0
3.0,2.0,66.0,99.0,98439.39393939394,5.0,0.6666666666666666,101.71210787625888,102.22761467423678,98.42107279468547,88.38925006861031,116.95980849516016,95.0484802296521,6497000.0
5.0,2.0,350.0,180.0,77142.85714285714,7.0,1.9444444444444444,209.0641931792546,210.01631370173968,206.54874260332724,196.49476577402234,224.19523813467228,204.27688951060404,27000000.0
3.0,2.0,250.0,1529.0,21600.0,5.0,0.16350555918901244,636.676817495227,635.0760236015429,637.7769383639419,647.2900616334041,622.8719986535532,638.1146678251478,5400000.0
4.0,3.0,240.0,180.0,70000.0,7.0,1.3333333333333333,70.18267332829217,72.02344564350571,69.89006049022984,61.43336645935231,83.59814729365458,71.61736825151165,16800000.0
4.0,3.5,208.0,121.0,264423.07692307694,7.5,1.71900826446281,6.192170395086208,4.526426462754925,1.3532877045987415,10.698565461799587,18.84116972573208,7.181666806317474,55000000.0
3.0,3.0,84.75,125.21,102654.86725663717,6.0,0.6768628703777654,71.28855294650579,70.6661732279024,74.48571177715807,84.50139987863103,56.03178446247359,78.6499895557615,8700000.0
2.0,2.0,53.0,88.0,113301.88679245283,4.0,0.6022727272727273,43.47232903908569,45.270690486863764,43.136318286816376,34.94409058911651,57.24996198571357,45.24437351047548,6005000.0
3.0,3.0,247.4,93.0,137493.9369442199,6.0,2.660215053763441,13.809043427904067,13.273280579955598,17.289433205036932,27.11398958740968,1.7331961875285562,23.129042167501105,34016000.0
4.0,3.0,240.0,173.0,58333.333333333336,7.0,1.3872832369942196,16.53452806092654,14.163292126734643,12.159230394171995,17.05178835112762,23.93851001993507,6.716996613805134,14000000.0
2.0,1.0,40.0,88.0,88578.675,3.0,0.45454545454545453,1.7770232569930737,2.6733197041621697,6.474000514712566,15.350095002157254,13.488925776389165,14.245311616024498,3543147.0
2.0,1.0,46.0,63.0,96913.04347826086,3.0,0.7301587301587301,101.99764488796649,102.49755940802035,98.68024767487411,88.65542612192709,117.24119471786528,95.25869746628514,4458000.0
5.0,3.0,166.0,143.0,95439.75903614458,8.0,1.1608391608391608,453.00838772006426,451.77079749183207,454.9734022182206,464.9144965447342,438.3047515964713,456.6988158572129,15843000.0
3.0,2.0,90.0,88.0,63105.77777777778,5.0,1.0227272727272727,27.250906415087538,26.75866580059964,30.718303594812884,40.60706132945554,11.988219191092071,35.900427558098855,5679520.0
3.0,3.0,96.0,60.0,72395.83333333333,6.0,1.6,17.608516801572893,17.356670430968613,13.26742531064579,4.647242867624278,32.19371203237199,10.409556279445107,6950000.0
3.0,2.0,66.0,99.0,93939.39393939394,5.0,0.6666666666666666,101.99764488796649,102.49755940802035,98.68024767487411,88.65542612192709,117.24119471786528,95.25869746628514,6200000.0
4.0,2.0,310.0,105.0,112903.2258064516,6.0,2.9523809523809526,6.134510377368001,3.9158797226609203,6.9197619207080034,17.00055023458171,12.536574415471643,12.403671246700654,35000000.0
3.0,3.0,167.0,120.0,59704.790419161676,6.0,1.3916666666666666,14.025472120658973,12.453409254133065,8.7083883440311,9.720461061833658,25.928491329368512,1.1692612206881137,9970700.0
2.0,1.0,40.31,85.0,110910.44405854626,3.0,0.4742352941176471,20.63264723286756,18.116955825110654,16.806667213532762,22.161232062430667,25.23474637764575,11.813492187862114,4470800.0
3.0,3.0,53.6,88.0,71375.0,6.0,0.6090909090909091,88.00964461483005,89.67783479643093,87.19867628825222,78.14481310135028,101.93054624127186,88.00239441335016,3825700.0
2.0,2.0,53.0,88.0,102358.49056603774,4.0,0.6022727272727273,101.71210787625888,102.22761467423678,98.42107279468547,88.38925006861031,116.95980849516016,95.0484802296521,5425000.0
3.0,2.0,99.0,60.0,93666.66666666667,5.0,1.65,103.46487932760124,104.95914204960197,102.18670428679981,92.72460653766841,117.81400354748422,102.17764294753277,9273000.0
2.0,1.0,40.0,63.0,101425.0,3.0,0.6349206349206349,1.7770232569930737,2.6733197041621697,6.474000514712566,15.350095002157254,13.488925776389165,14.245311616024498,4057000.0
5.0,3.0,166.0,230.0,81198.7951807229,8.0,0.7217391304347827,94.44173375552552,96.90594600235075,96.61724500951362,91.54950602908558,103.07172884957505,101.53687243384027,13479000.0
3.0,2.0,194.0,746.0,33505.154639175256,5.0,0.26005361930294907,1.7770232569930737,2.6733197041621697,6.474000514712566,15.350095002157254,13.488925776389165,14.245311616024498,6500000.0
3.0,3.0,417.0,2467.0,24940.047961630695,6.0,0.1690312119983786,1.7770232569930737,2.6733197041621697,6.474000514712566,15.350095002157254,13.488925776389165,14.245311616024498,10400000.0
3.0,2.0,54.0,90.0,58989.27777777778,5.0,0.6,87.29255378011486,88.84365223298897,86.17305982798365,76.8619150975923,101.53572748954032,86.50884757466021,3185421.0
3.0,3.0,78.1,110.0,17646.478873239437,6.0,0.71,51.705755860263785,49.66594547331785,51.6974549707095,60.72816262612863,41.13193658973465,51.30579129150089,1378190.0
3.0,2.0,70.0,67.5,77142.85714285714,5.0,1.037037037037037,1.7770232569930737,2.6733197041621697,6.474000514712566,15.350095002157254,13.488925776389165,14.245311616024498,5400000.0
4.0,3.0,85.0,121.0,95047.05882352941,7.0,0.7024793388429752,1.7770232569930737,2.6733197041621697,6.474000514712566,15.350095002157254,13.488925776389165,14.245311616024498,8079000.0
5.0,5.0,350.0,150.0,75714.28571428571,10.0,2.3333333333333335,9.580347111775705,7.231235043580672,5.590628503893541,13.476856628526361,19.017315328012135,5.9147598451680725,26500000.0
4.0,3.0,212.0,126.0,172169.81132075473,7.0,1.6825396825396826,14.701789363603693,13.985257026851862,9.811416237773585,5.08552381605126,28.60891116570808,6.1776607574545634,36500000.0
3.0,2.0,250.0,348.0,96000.0,5.0,0.7183908045977011,5.875166891083319,5.977372658315095,10.147291789589168,19.44460401332749,9.402916032483175,17.312372683882014,24000000.0
2.0,1.0,40.0,63.0,109825.0,3.0,0.6349206349206349,101.71210787625888,102.22761467423678,98.42107279468547,88.38925006861031,116.95980849516016,95.0484802296521,4393000.0
3.0,1.0,62.5,50.0,36704.96,4.0,1.25,79.47553100438518,81.35359296459319,79.27986833551465,70.87476215972427,92.69639465488746,81.06289959468525,2294060.0
4.0,4.0,304.0,356.0,95394.73684210527,8.0,0.8539325842696629,1.7770232569930737,2.6733197041621697,6.474000514712566,15.350095002157254,13.488925776389165,14.245311616024498,29000000.0
4.0,3.0,128.0,150.0,78125.0,7.0,0.8533333333333334,76.5936166432776,78.39052300001427,76.16022984512082,67.51585740849187,90.13631386529241,77.61931049941731,10000000.0
4.0,5.0,380.0,286.0,89473.68421052632,9.0,1.3286713286713288,12.060232748784554,11.91015955549519,16.048950455599712,25.603907794568748,3.3455769988251096,22.502261479277042,34000000.0
3.0,4.0,103.0,168.0,105825.2427184466,7.0,0.6130952380952381,30.505486026029033,30.84507902152722,35.01771939145201,44.124888809992875,16.786011008374988,41.541496833211816,10900000.0
3.0,3.0,100.0,30.0,62000.0,6.0,3.3333333333333335,1.7770232569930737,2.6733197041621697,6.474000514712566,15.350095002157254,13.488925776389165,14.245311616024498,6200000.0
3.0,2.0,80.0,203.0,93150.0,5.0,0.39408866995073893,102.94557136663977,103.41811340960264,99.5821478684245,89.57083817647077,118.18065716744158,96.0729709069437,7452000.0
4.0,4.0,350.0,251.0,77142.85714285714,8.0,1.3944223107569722,83.46392900718993,85.20897312242383,82.87165778850655,74.03713096531594,97.15698874323505,84.0380432526438,27000000.0
4.0,3.0,90.56,180.0,66806.53710247349,7.0,0.5031111111111112,967.0489197139404,965.4363055460639,968.1140039820668,977.5968364520725,953.2674755375991,968.3687951588697,6050000.0
3.0,3.0,200.0,180.0,60000.0,6.0,1.1111111111111112,74.84802973425616,76.62645148537435,74.36383906819782,65.67620589382973,88.46345627902204,75.76378969517953,12000000.0
3.0,3.0,142.0,412.0,232394.3661971831,6.0,0.3446601941747573,10.655376235716746,10.386500884145596,6.376488776905624,3.929436041274955,25.249920429455003,7.276341126277351,33000000.0
3.0,2.0,70.27,67.0,75423.36701295005,5.0,1.0488059701492536,961.4905175924348,959.8753019202973,962.5489006060155,972.0274434945413,947.7178129290514,962.793659583607,5300000.0
